2025-09-17T09:38:00+00:00Z job-101 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T08:27:00+00:00Z job-104 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T09:03:00+00:00Z job-104 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T08:42:00+00:00Z job-105 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T09:25:00+00:00Z job-107 NCCL ERROR NET/IB : connection stalled, latency spike
2025-09-17T09:22:00+00:00Z job-108 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T09:23:00+00:00Z job-108 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T09:19:00+00:00Z job-109 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T08:46:00+00:00Z job-110 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T08:40:00+00:00Z whale-1 NCCL ERROR NET/IB : connection stalled, latency spike
2025-09-17T08:42:00+00:00Z whale-1 NCCL ERROR NET/IB : connection stalled, latency spike
2025-09-17T08:49:00+00:00Z whale-1 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T08:56:00+00:00Z whale-1 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T09:32:00+00:00Z whale-2 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T09:33:00+00:00Z whale-2 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T09:40:00+00:00Z whale-2 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T08:44:00+00:00Z whale-3 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T08:48:00+00:00Z whale-3 NCCL ERROR NET/IB : connection stalled, latency spike
2025-09-17T08:54:00+00:00Z whale-3 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T09:05:00+00:00Z whale-3 NCCL ERROR NET/IB : connection stalled, latency spike
2025-09-17T09:09:00+00:00Z whale-3 NCCL WARN NET/IB : connection stalled, latency spike
2025-09-17T09:29:00+00:00Z whale-3 NCCL WARN NET/IB : connection stalled, latency spike
